PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Adilabad,1,ST,Telangana,Godam Nagesh,Telangana Rashtra Samithi,1386233,1045839,75.40%,171290,16.40%
Agra,18,SC,Uttar Pradesh [2000 Onwards],Dr. Ram Shankar Katheria,Bharatiya Janta Party,1814739,1070400,59.00%,300263,28.10%
Ahmadnagar,37,GEN,Maharashtra,Gandhi Dilipkumar Mansukhlal,Bharatiya Janta Party,1699408,1062318,62.50%,209122,19.70%
Ahmedabad East,7,GEN,Gujarat,Paresh Rawal,Bharatiya Janta Party,1601832,985525,61.50%,326633,33.10%
Ahmedabad West,8,SC,Gujarat,Dr. Kirit P Solanki,Bharatiya Janta Party,1534400,964609,62.90%,320311,33.20%
Ajmer,13,GEN,Rajasthan,Sanwar Lal Jat,Bharatiya Janta Party,1683292,1156314,68.70%,171983,14.90%
Akbarpur,44,GEN,Uttar Pradesh [2000 Onwards],Devendra Singh @ Bhole Singh,Bharatiya Janta Party,1768623,971375,54.90%,278997,28.70%
Akola,6,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1646463,978491,59.40%,203116,20.80%
Alappuzha,15,GEN,Kerala,K C Venugopal,Indian National Congress,1271324,997464,78.50%,19407,1.90%
Alathur,9,SC,Kerala,P.K.Biju,Communist Party Of India (MARXIST),1216351,927228,76.20%,37312,4.00%
Aligarh,15,GEN,Uttar Pradesh [2000 Onwards],Satish Kumar,Bharatiya Janta Party,1793126,1064357,59.40%,286736,26.90%
Alipurduars,2,ST,West Bengal,Dasrath Tirkey,All India Trinamool Congress,1470911,1223566,83.20%,21397,1.70%
Allahabad,52,GEN,Uttar Pradesh [2000 Onwards],Shyama Charan Gupta,Bharatiya Janta Party,1666569,891582,53.50%,62009,7.00%
Almora,3,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,1254328,656525,52.30%,95690,14.60%
Alwar,8,GEN,Rajasthan,Chand Nath,Bharatiya Janta Party,1628067,1062305,65.30%,283895,26.70%
Amalapuram,24,SC,Andhra Pradesh [2014 Onwards],Dr Pandula Ravindra Babu,Telugu Desam,1357866,1120927,82.60%,120576,10.80%
Ambala,1,SC,Haryana,Rattan Lal Kataria,Bharatiya Janta Party,1692227,1218995,72.00%,340074,27.90%
Ambedkar Nagar,55,GEN,Uttar Pradesh [2000 Onwards],Hari Om Pandey,Bharatiya Janta Party,1718774,1034404,60.20%,139429,13.50%
Amethi,37,GEN,Uttar Pradesh [2000 Onwards],Rahul Gandhi,Indian National Congress,1669843,874625,52.40%,107903,12.30%
Amravati,7,SC,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,1611365,1004061,62.30%,137932,13.70%
Amreli,14,GEN,Gujarat,Kachhadiya Naranbhai Bhikhabhai,Bharatiya Janta Party,1486286,808816,54.40%,156232,19.30%
Amritsar,2,GEN,Punjab,Captain Amarinder Singh,Indian National Congress,1477262,1007196,68.20%,102770,10.20%
Amroha,9,GEN,Uttar Pradesh [2000 Onwards],Kanwar Singh Tanwar,Bharatiya Janta Party,1544242,1095860,71.00%,158214,14.40%
Anakapalli,22,GEN,Andhra Pradesh [2014 Onwards],Muttamsetti Srinivasa Rao (AVANTHI),Telugu Desam,1401474,1148072,81.90%,47932,4.20%
Anand,16,GEN,Gujarat,Dilip Patel,Bharatiya Janta Party,1496859,970894,64.90%,63426,6.50%
Anandpur Sahib,6,GEN,Punjab,Prem Singh Chandumajra,Shiromani Akali Dal,1564721,1086563,69.40%,23697,2.20%
Anantapur,36,GEN,Andhra Pradesh [2014 Onwards],J.C. Divakar Reddi,Telugu Desam,1536912,1205054,78.40%,61269,5.10%
Anantnag,3,GEN,Jammu & Kashmir,Mehbooba Mufti,Jammu & Kashmir Peoples Democratic Party,1301023,375279,28.80%,65417,17.40%
Andaman And Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Bishnu Pada Ray,Bharatiya Janta Party,269360,190328,70.70%,7812,4.10%
Aonla,24,GEN,Uttar Pradesh [2000 Onwards],Dharmendra Kumar,Bharatiya Janta Party,1653577,995641,60.20%,138429,13.90%
