#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
1,Chitradurga,18,SC,Karnataka,A Narayanaswamy,Bharatiya Janta Party,1736643,1245950,72,80178.00,6.4
2,Barpeta,6,GEN,Assam,Abdul Khaleque,Indian National Congress,1449560,1458549,101.3,140307.00,9.6
3,Diamond Harbou,21,GEN,West Bengal,Abhishek Banerjee,All India Trinamool Congress,1873955,1409002,76.1,320594.00,22.8
4,Maldaha Dakshi,8,GEN,West Bengal,Abu Hasem Khan Chowdhury (DALU),Indian National Congress,1461017,1279202,88.4,8222.00,0.6
5,Murshidabad,11,GEN,West Bengal,Abu Taher Khan,All India Trinamool Congress,1824697,1453755,80.5,226417.00,15.6
6,Kandhamal,13,GEN,Orissa,Achyutananda Samanta,Biju Janata Dal,1235291,941985,77.3,149216.00,15.8
7,Nellore,22,,Andhra Pradesh [2014 Onwards],Adala Prabhakara Reddy,Yuvajana Sramika Rythu Congress Party,1460959,1287036,89.3,148571.00,11.5
8,Ghatal,32,GEN,West Bengal,Adhikari Deepak (DEV),All India Trinamool Congress,1931027,1488818,77.8,107973.00,7.3
9,Tamluk,30,GEN,West Bengal,Adhikari Dibyendu,All India Trinamool Congress,1839886,1446499,79.2,190165.00,13.1
10,Kanthi,31,GEN,West Bengal,Adhikari Sisir,All India Trinamool Congress,1793513,1424247,79.9,111668.00,7.8
11,Baharampur,10,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,1746812,1299997,75.2,80696.00,6.2
12,Alappuzha,15,GEN,Kerala,Adv. A M Ariff,Communist Party Of India (Marxist),1298061,1088728,84.3,10474.00,1
13,Attingal,19,GEN,Kerala,Adv. Adoor Prakash,Indian National Congress,1313675,1004888,76.9,38247.00,3.8
14,Idukki,13,GEN,Kerala,Adv. Dean Kuriakose,Indian National Congress,1160824,919297,79.7,171053.00,18.6
15,Ghazipur,75,GEN,Uttar Pradesh [2000 Onwards],Afzal Ansari,Bahujan Samaj Party,1832844,1105627,60.7,119392.00,10.8
16,Tura,2,ST,Meghalaya,Agatha K. Sangma,National People's Party,692353,583041,85.1,64030.00,11
17,Nainital-Udham,4,GEN,Uttarakhand,Ajay Bhatt,Bharatiya Janta Party,1754749,1258570,72.3,339096.00,26.9
18,Kheri,28,GEN,Uttar Pradesh [2000 Onwards],Ajay Kumar,Bharatiya Janta Party,1729085,1136660,66.2,218807.00,19.2
19,Bhagalpur,26,GEN,Bihar [2000 Onwards],Ajay Kumar Mandal,Janata Dal (United),1811980,1042518,59.3,277630.00,26.6
20,Muzaffarpur,15,GEN,Bihar [2000 Onwards],Ajay Nishad,Bharatiya Janta Party,1710868,1058086,62.4,409988.00,38.7
21,Almora,3,SC,Uttarakhand,Ajay Tamta,Bharatiya Janta Party,1287611,694472,55.1,232986.00,33.5
22,Azamgarh,69,GEN,Uttar Pradesh [2000 Onwards],Akhilesh Yadav,Samajwadi Party,1773820,1029112,58.4,259874.00,25.3
23,Bahraich,56,SC,Uttar Pradesh [2000 Onwards],Akshaibar Lal,Bharatiya Janta Party,1686646,989848,59.5,128752.00,13
24,Fatehgarh Sahi,8,SC,Punjab,Amar Singh,Indian National Congress,1470008,985948,68,93898.00,9.5
25,Gandhinagar,6,GEN,Gujarat,Amit Shah,Bharatiya Janta Party,1874564,1284090,69.3,557014.00,43.4
26,Uttara Kannada,12,GEN,Karnataka,Anantkumar Hegde,Bharatiya Janta Party,1535047,1153480,76.2,479649.00,41.6
